Currency code,Date,Units per USD
USD,2019-12-04 00:00:00,1.0
JPY,2019-12-04 00:00:00,108.6996
GBP,2019-12-04 00:00:00,0.7636
CHF,2019-12-04 00:00:00,0.9887
AUD,2019-12-04 00:00:00,1.4622
CAD,2019-12-04 00:00:00,1.3272
INR,2019-12-04 00:00:00,71.5292
MYR,2019-12-04 00:00:00,4.1765
SGD,2019-12-04 00:00:00,1.363
EUR,2019-12-04 00:00:00,0.9024
USD,2019-12-03 00:00:00,1.0
JPY,2019-12-03 00:00:00,108.7436
GBP,2019-12-03 00:00:00,0.7696
CHF,2019-12-03 00:00:00,0.9888
AUD,2019-12-03 00:00:00,1.462
CAD,2019-12-03 00:00:00,1.332
INR,2019-12-03 00:00:00,71.746
MYR,2019-12-03 00:00:00,4.1745
SGD,2019-12-03 00:00:00,1.3655
EUR,2019-12-03 00:00:00,0.9033
USD,2019-12-02 00:00:00,1.0
JPY,2019-12-02 00:00:00,109.5437
GBP,2019-12-02 00:00:00,0.7731
CHF,2019-12-02 00:00:00,0.9975
AUD,2019-12-02 00:00:00,1.4733
CAD,2019-12-02 00:00:00,1.3296
INR,2019-12-02 00:00:00,71.6488
MYR,2019-12-02 00:00:00,4.1795
SGD,2019-12-02 00:00:00,1.3685
EUR,2019-12-02 00:00:00,0.9072
USD,2019-11-29 00:00:00,1.0
JPY,2019-11-29 00:00:00,109.6613
GBP,2019-11-29 00:00:00,0.776
CHF,2019-11-29 00:00:00,1.0015
AUD,2019-11-29 00:00:00,1.4777
CAD,2019-11-29 00:00:00,1.3307
INR,2019-11-29 00:00:00,71.6513
MYR,2019-11-29 00:00:00,4.1779
SGD,2019-11-29 00:00:00,1.3674
EUR,2019-11-29 00:00:00,0.9106
USD,2019-11-28 00:00:00,1.0
JPY,2019-11-28 00:00:00,109.4957
GBP,2019-11-28 00:00:00,0.774
CHF,2019-11-28 00:00:00,0.9987
AUD,2019-11-28 00:00:00,1.4769
CAD,2019-11-28 00:00:00,1.3289
INR,2019-11-28 00:00:00,71.6124
MYR,2019-11-28 00:00:00,4.1735
SGD,2019-11-28 00:00:00,1.3659
EUR,2019-11-28 00:00:00,0.9087
USD,2019-11-27 00:00:00,1.0
JPY,2019-11-27 00:00:00,109.1652
GBP,2019-11-27 00:00:00,0.7762
CHF,2019-11-27 00:00:00,0.9979
AUD,2019-11-27 00:00:00,1.4733
CAD,2019-11-27 00:00:00,1.3266
INR,2019-11-27 00:00:00,71.3503
MYR,2019-11-27 00:00:00,4.172
SGD,2019-11-27 00:00:00,1.3651
EUR,2019-11-27 00:00:00,0.9083
USD,2019-11-26 00:00:00,1.0
JPY,2019-11-26 00:00:00,108.9746
GBP,2019-11-26 00:00:00,0.7778
CHF,2019-11-26 00:00:00,0.9975
AUD,2019-11-26 00:00:00,1.4747
CAD,2019-11-26 00:00:00,1.3306
INR,2019-11-26 00:00:00,71.5213
MYR,2019-11-26 00:00:00,4.183
SGD,2019-11-26 00:00:00,1.3663
EUR,2019-11-26 00:00:00,0.9074
USD,2019-11-25 00:00:00,1.0
JPY,2019-11-25 00:00:00,108.9026
GBP,2019-11-25 00:00:00,0.7768
CHF,2019-11-25 00:00:00,0.998
